Run	Year	MgmtZoneId	MgmtZone	CategoryId	Category	NetArea	TotalArea
1	65	7	7	1	lAvailable	0	0
1	65	1	1	2	lMHA	0	0
1	65	5	5	2	lMHA	0	0
1	65	7	7	2	lMHA	0	0
1	65	1	1	3	lProtected	0	0
1	65	5	5	3	lProtected	0	0
1	65	7	7	3	lProtected	0	0
1	65	1	1	4	lDist	0	0
1	65	5	5	4	lDist	0	0
1	65	7	7	4	lDist	0	0
1	65	1	1	5	lAdjGreenup	0	0
1	65	5	5	5	lAdjGreenup	0	0
1	65	7	7	5	lAdjGreenup	0	0
1	65	1	1	6	lACReserve	0	0
1	65	5	5	6	lACReserve	0	0
1	65	7	7	6	lACReserve	0	0
1	65	1	1	7	lMosaicReserve	0	0
1	65	5	5	7	lMosaicReserve	0	0
1	65	7	7	7	lMosaicReserve	0	0
1	65	1	1	8	lStripCutReserve	0	0
1	65	5	5	8	lStripCutReserve	0	0
1	65	7	7	8	lStripCutReserve	0	0
1	70	1	1	1	lAvailable	0	0
1	70	5	5	1	lAvailable	0	0
1	70	7	7	1	lAvailable	0	0
1	70	1	1	2	lMHA	0	0
1	70	5	5	2	lMHA	0	0
1	70	7	7	2	lMHA	0	0
1	70	1	1	3	lProtected	0	0
1	70	5	5	3	lProtected	0	0
1	70	7	7	3	lProtected	0	0
1	70	1	1	4	lDist	0	0
1	70	5	5	4	lDist	0	0
1	70	7	7	4	lDist	0	0
1	70	1	1	5	lAdjGreenup	0	0
1	70	5	5	5	lAdjGreenup	0	0
1	70	7	7	5	lAdjGreenup	0	0
1	70	1	1	6	lACReserve	0	0
1	70	5	5	6	lACReserve	0	0
1	70	7	7	6	lACReserve	0	0
1	70	1	1	7	lMosaicReserve	0	0
1	70	5	5	7	lMosaicReserve	0	0
1	70	7	7	7	lMosaicReserve	0	0
1	70	1	1	8	lStripCutReserve	0	0
1	70	5	5	8	lStripCutReserve	0	0
1	70	7	7	8	lStripCutReserve	0	0
1	75	1	1	1	lAvailable	0	0
1	75	5	5	1	lAvailable	0	0
1	75	7	7	1	lAvailable	0	0
1	75	1	1	2	lMHA	0	0
1	75	5	5	2	lMHA	0	0
1	75	7	7	2	lMHA	0	0
1	75	1	1	3	lProtected	0	0
1	75	5	5	3	lProtected	0	0
1	75	7	7	3	lProtected	0	0
1	75	1	1	4	lDist	0	0
1	75	5	5	4	lDist	0	0
1	75	7	7	4	lDist	0	0
1	75	1	1	5	lAdjGreenup	0	0
1	75	5	5	5	lAdjGreenup	0	0
1	75	7	7	5	lAdjGreenup	0	0
1	75	1	1	6	lACReserve	0	0
1	75	5	5	6	lACReserve	0	0
1	75	7	7	6	lACReserve	0	0
1	75	1	1	7	lMosaicReserve	0	0
1	75	5	5	7	lMosaicReserve	0	0
1	75	7	7	7	lMosaicReserve	0	0
1	75	1	1	8	lStripCutReserve	0	0
1	75	5	5	8	lStripCutReserve	0	0
1	75	7	7	8	lStripCutReserve	0	0
1	80	1	1	1	lAvailable	0	0
1	80	5	5	1	lAvailable	0	0
1	80	7	7	1	lAvailable	0	0
1	80	1	1	2	lMHA	0	0
1	80	5	5	2	lMHA	0	0
1	80	7	7	2	lMHA	0	0
1	80	1	1	3	lProtected	0	0
1	80	5	5	3	lProtected	0	0
1	80	7	7	3	lProtected	0	0
1	80	1	1	4	lDist	0	0
1	80	5	5	4	lDist	0	0
1	80	7	7	4	lDist	0	0
1	80	1	1	5	lAdjGreenup	0	0
1	80	5	5	5	lAdjGreenup	0	0
1	80	7	7	5	lAdjGreenup	0	0
1	80	1	1	6	lACReserve	0	0
1	80	5	5	6	lACReserve	0	0
1	80	7	7	6	lACReserve	0	0
1	80	1	1	7	lMosaicReserve	0	0
1	80	5	5	7	lMosaicReserve	0	0
1	80	7	7	7	lMosaicReserve	0	0
1	80	1	1	8	lStripCutReserve	0	0
1	80	5	5	8	lStripCutReserve	0	0
1	80	7	7	8	lStripCutReserve	0	0
1	85	1	1	1	lAvailable	0	0
1	85	5	5	1	lAvailable	0	0
1	85	7	7	1	lAvailable	0	0
1	85	1	1	2	lMHA	0	0
1	85	5	5	2	lMHA	0	0
1	85	7	7	2	lMHA	0	0
1	85	1	1	3	lProtected	0	0
1	85	5	5	3	lProtected	0	0
1	85	7	7	3	lProtected	0	0
1	85	1	1	4	lDist	0	0
1	85	5	5	4	lDist	0	0
1	85	7	7	4	lDist	0	0
1	85	1	1	5	lAdjGreenup	0	0
1	85	5	5	5	lAdjGreenup	0	0
1	85	7	7	5	lAdjGreenup	0	0
1	85	1	1	6	lACReserve	0	0
1	85	5	5	6	lACReserve	0	0
1	85	7	7	6	lACReserve	0	0
1	85	1	1	7	lMosaicReserve	0	0
1	85	5	5	7	lMosaicReserve	0	0
1	85	7	7	7	lMosaicReserve	0	0
1	85	1	1	8	lStripCutReserve	0	0
1	85	5	5	8	lStripCutReserve	0	0
1	85	7	7	8	lStripCutReserve	0	0
1	90	1	1	1	lAvailable	0	0
1	90	5	5	1	lAvailable	0	0
1	90	7	7	1	lAvailable	0	0
1	90	1	1	2	lMHA	0	0
1	90	5	5	2	lMHA	0	0
1	90	7	7	2	lMHA	0	0
1	90	1	1	3	lProtected	0	0
1	90	5	5	3	lProtected	0	0
1	90	7	7	3	lProtected	0	0
1	90	1	1	4	lDist	0	0
1	90	5	5	4	lDist	0	0
1	90	7	7	4	lDist	0	0
1	90	1	1	5	lAdjGreenup	0	0
1	90	5	5	5	lAdjGreenup	0	0
1	90	7	7	5	lAdjGreenup	0	0
1	90	1	1	6	lACReserve	0	0
1	90	5	5	6	lACReserve	0	0
1	90	7	7	6	lACReserve	0	0
1	90	1	1	7	lMosaicReserve	0	0
1	90	5	5	7	lMosaicReserve	0	0
1	90	7	7	7	lMosaicReserve	0	0
1	90	1	1	8	lStripCutReserve	0	0
1	90	5	5	8	lStripCutReserve	0	0
1	90	7	7	8	lStripCutReserve	0	0
1	95	1	1	1	lAvailable	0	0
1	95	5	5	1	lAvailable	0	0
1	95	7	7	1	lAvailable	0	0
1	95	1	1	2	lMHA	0	0
1	95	5	5	2	lMHA	0	0
1	95	7	7	2	lMHA	0	0
1	95	1	1	3	lProtected	0	0
1	95	5	5	3	lProtected	0	0
1	95	7	7	3	lProtected	0	0
1	95	1	1	4	lDist	0	0
1	95	5	5	4	lDist	0	0
1	95	7	7	4	lDist	0	0
1	95	1	1	5	lAdjGreenup	0	0
1	95	5	5	5	lAdjGreenup	0	0
1	95	7	7	5	lAdjGreenup	0	0
1	95	1	1	6	lACReserve	0	0
1	95	5	5	6	lACReserve	0	0
1	95	7	7	6	lACReserve	0	0
1	95	1	1	7	lMosaicReserve	0	0
1	95	5	5	7	lMosaicReserve	0	0
1	95	7	7	7	lMosaicReserve	0	0
1	95	1	1	8	lStripCutReserve	0	0
1	95	5	5	8	lStripCutReserve	0	0
1	95	7	7	8	lStripCutReserve	0	0
1	100	1	1	1	lAvailable	0	0
1	100	5	5	1	lAvailable	0	0
1	100	7	7	1	lAvailable	0	0
1	100	1	1	2	lMHA	0	0
1	100	5	5	2	lMHA	0	0
1	100	7	7	2	lMHA	0	0
1	100	1	1	3	lProtected	0	0
1	100	5	5	3	lProtected	0	0
1	100	7	7	3	lProtected	0	0
1	100	1	1	4	lDist	0	0
1	100	5	5	4	lDist	0	0
1	100	7	7	4	lDist	0	0
1	100	1	1	5	lAdjGreenup	0	0
1	100	5	5	5	lAdjGreenup	0	0
1	100	7	7	5	lAdjGreenup	0	0
1	100	1	1	6	lACReserve	0	0
1	100	5	5	6	lACReserve	0	0
1	100	7	7	6	lACReserve	0	0
1	100	1	1	7	lMosaicReserve	0	0
1	100	5	5	7	lMosaicReserve	0	0
1	100	7	7	7	lMosaicReserve	0	0
1	100	1	1	8	lStripCutReserve	0	0
1	100	5	5	8	lStripCutReserve	0	0
1	100	7	7	8	lStripCutReserve	0	0
1	105	1	1	1	lAvailable	0	0
1	105	5	5	1	lAvailable	0	0
1	105	7	7	1	lAvailable	0	0
1	105	1	1	2	lMHA	0	0
1	105	5	5	2	lMHA	0	0
1	105	7	7	2	lMHA	0	0
1	105	1	1	3	lProtected	0	0
1	105	5	5	3	lProtected	0	0
1	105	7	7	3	lProtected	0	0
1	105	1	1	4	lDist	0	0
1	105	5	5	4	lDist	0	0
1	105	7	7	4	lDist	0	0
1	105	1	1	5	lAdjGreenup	0	0
1	105	5	5	5	lAdjGreenup	0	0
1	105	7	7	5	lAdjGreenup	0	0
1	105	1	1	6	lACReserve	0	0
1	105	5	5	6	lACReserve	0	0
1	105	7	7	6	lACReserve	0	0
1	105	1	1	7	lMosaicReserve	0	0
1	105	5	5	7	lMosaicReserve	0	0
1	105	7	7	7	lMosaicReserve	0	0
1	105	1	1	8	lStripCutReserve	0	0
1	105	5	5	8	lStripCutReserve	0	0
1	105	7	7	8	lStripCutReserve	0	0
1	110	1	1	1	lAvailable	0	0
1	110	5	5	1	lAvailable	0	0
1	110	7	7	1	lAvailable	0	0
1	110	1	1	2	lMHA	0	0
1	110	5	5	2	lMHA	0	0
1	110	7	7	2	lMHA	0	0
1	110	1	1	3	lProtected	0	0
1	110	5	5	3	lProtected	0	0
1	110	7	7	3	lProtected	0	0
1	110	1	1	4	lDist	0	0
1	110	5	5	4	lDist	0	0
1	110	7	7	4	lDist	0	0
1	110	1	1	5	lAdjGreenup	0	0
1	110	5	5	5	lAdjGreenup	0	0
1	110	7	7	5	lAdjGreenup	0	0
1	110	1	1	6	lACReserve	0	0
1	110	5	5	6	lACReserve	0	0
1	110	7	7	6	lACReserve	0	0
1	110	1	1	7	lMosaicReserve	0	0
1	110	5	5	7	lMosaicReserve	0	0
1	110	7	7	7	lMosaicReserve	0	0
1	110	1	1	8	lStripCutReserve	0	0
1	110	5	5	8	lStripCutReserve	0	0
1	110	7	7	8	lStripCutReserve	0	0
1	115	1	1	1	lAvailable	0	0
1	115	5	5	1	lAvailable	0	0
1	115	7	7	1	lAvailable	0	0
1	115	1	1	2	lMHA	0	0
1	115	5	5	2	lMHA	0	0
1	115	7	7	2	lMHA	0	0
1	115	1	1	3	lProtected	0	0
1	115	5	5	3	lProtected	0	0
1	115	7	7	3	lProtected	0	0
1	115	1	1	4	lDist	0	0
1	115	5	5	4	lDist	0	0
1	115	7	7	4	lDist	0	0
1	115	1	1	5	lAdjGreenup	0	0
1	115	5	5	5	lAdjGreenup	0	0
1	115	7	7	5	lAdjGreenup	0	0
1	115	1	1	6	lACReserve	0	0
1	115	5	5	6	lACReserve	0	0
1	115	7	7	6	lACReserve	0	0
1	115	1	1	7	lMosaicReserve	0	0
1	115	5	5	7	lMosaicReserve	0	0
1	115	7	7	7	lMosaicReserve	0	0
1	115	1	1	8	lStripCutReserve	0	0
1	115	5	5	8	lStripCutReserve	0	0
1	115	7	7	8	lStripCutReserve	0	0
1	120	1	1	1	lAvailable	0	0
1	120	5	5	1	lAvailable	0	0
1	120	7	7	1	lAvailable	0	0
1	120	1	1	2	lMHA	0	0
1	120	5	5	2	lMHA	0	0
1	120	7	7	2	lMHA	0	0
1	120	1	1	3	lProtected	0	0
1	120	5	5	3	lProtected	0	0
1	120	7	7	3	lProtected	0	0
1	120	1	1	4	lDist	0	0
1	120	5	5	4	lDist	0	0
1	120	7	7	4	lDist	0	0
1	120	1	1	5	lAdjGreenup	0	0
1	120	5	5	5	lAdjGreenup	0	0
1	120	7	7	5	lAdjGreenup	0	0
1	120	1	1	6	lACReserve	0	0
1	120	5	5	6	lACReserve	0	0
1	120	7	7	6	lACReserve	0	0
1	120	1	1	7	lMosaicReserve	0	0
1	120	5	5	7	lMosaicReserve	0	0
1	120	7	7	7	lMosaicReserve	0	0
1	120	1	1	8	lStripCutReserve	0	0
1	120	5	5	8	lStripCutReserve	0	0
1	120	7	7	8	lStripCutReserve	0	0
1	125	1	1	1	lAvailable	0	0
1	125	5	5	1	lAvailable	0	0
1	125	7	7	1	lAvailable	0	0
1	125	1	1	2	lMHA	0	0
1	125	5	5	2	lMHA	0	0
1	125	7	7	2	lMHA	0	0
1	125	1	1	3	lProtected	0	0
1	125	5	5	3	lProtected	0	0
1	125	7	7	3	lProtected	0	0
1	125	1	1	4	lDist	0	0
1	125	5	5	4	lDist	0	0
1	125	7	7	4	lDist	0	0
1	125	1	1	5	lAdjGreenup	0	0
1	125	5	5	5	lAdjGreenup	0	0
1	125	7	7	5	lAdjGreenup	0	0
1	125	1	1	6	lACReserve	0	0
1	125	5	5	6	lACReserve	0	0
1	125	7	7	6	lACReserve	0	0
1	125	1	1	7	lMosaicReserve	0	0
1	125	5	5	7	lMosaicReserve	0	0
1	125	7	7	7	lMosaicReserve	0	0
1	125	1	1	8	lStripCutReserve	0	0
1	125	5	5	8	lStripCutReserve	0	0
1	125	7	7	8	lStripCutReserve	0	0
1	130	1	1	1	lAvailable	0	0
1	130	5	5	1	lAvailable	0	0
1	130	7	7	1	lAvailable	0	0
1	130	1	1	2	lMHA	0	0
1	130	5	5	2	lMHA	0	0
1	130	7	7	2	lMHA	0	0
1	130	1	1	3	lProtected	0	0
1	130	5	5	3	lProtected	0	0
1	130	7	7	3	lProtected	0	0
1	130	1	1	4	lDist	0	0
1	130	5	5	4	lDist	0	0
1	130	7	7	4	lDist	0	0
1	130	1	1	5	lAdjGreenup	0	0
1	130	5	5	5	lAdjGreenup	0	0
1	130	7	7	5	lAdjGreenup	0	0
1	130	1	1	6	lACReserve	0	0
1	130	5	5	6	lACReserve	0	0
1	130	7	7	6	lACReserve	0	0
1	130	1	1	7	lMosaicReserve	0	0
1	130	5	5	7	lMosaicReserve	0	0
1	130	7	7	7	lMosaicReserve	0	0
1	130	1	1	8	lStripCutReserve	0	0
1	130	5	5	8	lStripCutReserve	0	0
1	130	7	7	8	lStripCutReserve	0	0
1	135	1	1	1	lAvailable	0	0
1	135	5	5	1	lAvailable	0	0
1	135	7	7	1	lAvailable	0	0
1	135	1	1	2	lMHA	0	0
1	135	5	5	2	lMHA	0	0
1	135	7	7	2	lMHA	0	0
1	135	1	1	3	lProtected	0	0
1	135	5	5	3	lProtected	0	0
1	135	7	7	3	lProtected	0	0
1	135	1	1	4	lDist	0	0
1	135	5	5	4	lDist	0	0
1	135	7	7	4	lDist	0	0
1	135	1	1	5	lAdjGreenup	0	0
1	135	5	5	5	lAdjGreenup	0	0
1	135	7	7	5	lAdjGreenup	0	0
1	135	1	1	6	lACReserve	0	0
1	135	5	5	6	lACReserve	0	0
1	135	7	7	6	lACReserve	0	0
1	135	1	1	7	lMosaicReserve	0	0
1	135	5	5	7	lMosaicReserve	0	0
1	135	7	7	7	lMosaicReserve	0	0
1	135	1	1	8	lStripCutReserve	0	0
1	135	5	5	8	lStripCutReserve	0	0
1	135	7	7	8	lStripCutReserve	0	0
1	140	1	1	1	lAvailable	0	0
1	140	5	5	1	lAvailable	0	0
